age,Mspline,Sspline,Lspline
5,-0.180901244,0.31547553,0
5.25,-0.173775538,0.297651925,0
5.5,-0.166946056,0.280712821,0
5.75,-0.160370539,0.264595154,0
6,-0.154014095,0.249241933,0
6.25,-0.147845035,0.234602457,0
6.5,-0.141832721,0.220632064,0
6.75,-0.135951412,0.207289929,0
7,-0.130179827,0.194538494,0
7.25,-0.124502629,0.182341784,0
7.5,-0.11891007,0.170664953,0
7.75,-0.113394018,0.15947607,0
8,-0.107947464,0.14874594,0
8.25,-0.102565078,0.138447642,0
8.5,-0.097247193,0.128555376,0
8.75,-0.091995907,0.119045055,0
9,-0.086812739,0.109894595,0
9.25,-0.081698724,0.101083702,0
9.5,-0.07665462,0.092593726,0
9.75,-0.071683619,0.08440835,0
10,-0.066790881,0.076513278,0
10.25,-0.061980686,0.068895175,0
10.5,-0.05725645,0.061541552,0
10.75,-0.052620856,0.054440697,0
11,-0.048075979,0.047581625,0
11.25,-0.043624672,0.040954908,0
11.5,-0.039271248,0.034553034,0
11.75,-0.035019403,0.028368899,0
12,-0.030872104,0.022395653,0
12.25,-0.026831691,0.016626694,0
12.5,-0.022899956,0.011055661,0
12.75,-0.01907822,0.005676431,0
13,-0.01536702,0.000482946,0
13.25,-0.011765498,-0.004531078,0
13.5,-0.008272452,-0.009371727,0
13.75,-0.004886575,-0.014044817,0
14,-0.001606474,-0.0185559,0
14.25,0.001569313,-0.022910286,0
14.5,0.004642301,-0.027113051,0
14.75,0.00761405,-0.031169054,0
15,0.010486209,-0.035082955,0
15.25,0.013261036,-0.038859318,0
15.5,0.015941085,-0.042502567,0
15.75,0.018528833,-0.046016938,0
16,0.021026681,-0.049406483,0
16.25,0.023436949,-0.052675085,0
16.5,0.025761887,-0.055826462,0
16.75,0.028003671,-0.05886418,0
17,0.03016441,-0.06179166,0
17.25,0.032246146,-0.064612185,0
17.5,0.034250812,-0.067328895,0
17.75,0.036180071,-0.069944766,0
18,0.038035474,-0.072462644,0
18.25,0.03981854,-0.074885266,0
18.5,0.041530758,-0.077215271,0
18.75,0.043173581,-0.079455197,0
19,0.044748433,-0.081607491,0
19.25,0.046256705,-0.083674514,0
19.5,0.047699754,-0.085658538,0
19.75,0.049078919,-0.087561756,0
20,0.050395478,-0.08938629,0
20.25,0.05165069,-0.091134184,0
20.5,0.052845963,-0.09280738,0
20.75,0.053982711,-0.09440775,0
21,0.055062303,-0.095937101,0
21.25,0.056086069,-0.097397182,0
21.5,0.05705531,-0.098789683,0
21.75,0.057971293,-0.100116241,0
22,0.058835244,-0.101378438,0
22.25,0.059648353,-0.10257781,0
22.5,0.060411777,-0.10371584,0
22.75,0.061126637,-0.104793965,0
23,0.061794021,-0.10581358,0
23.25,0.062414974,-0.106776045,0
23.5,0.062990484,-0.107682693,0
23.75,0.063521733,-0.108534686,0
24,0.064009965,-0.109333089,0
24.25,0.064456405,-0.110078929,0
24.5,0.064862286,-0.110773174,0
24.75,0.065228776,-0.111416785,0
25,0.065556998,-0.112010702,0
25.25,0.065848041,-0.11255584,0
25.5,0.06610295,-0.113053096,0
25.75,0.066322737,-0.113503346,0
26,0.066508378,-0.113907445,0
26.25,0.066660815,-0.114266231,0
26.5,0.066780958,-0.114580521,0
26.75,0.066869686,-0.114851117,0
27,0.066927851,-0.115078798,0
27.25,0.066956272,-0.115264332,0
27.5,0.066955747,-0.11540846,0
27.75,0.06692705,-0.115511882,0
28,0.066870937,-0.115575266,0
28.25,0.066788137,-0.115599264,0
28.5,0.066679358,-0.115584518,0
28.75,0.066545282,-0.115531658,0
29,0.066386572,-0.115441299,0
29.25,0.066203869,-0.115314046,0
29.5,0.065997795,-0.115150492,0
29.75,0.065768951,-0.114951219,0
30,0.065517921,-0.114716797,0
30.25,0.06524527,-0.114447784,0
30.5,0.064951547,-0.114144733,0
30.75,0.064637283,-0.11380818,0
31,0.064302995,-0.113438644,0
31.25,0.063949184,-0.113036638,0
31.5,0.063576335,-0.112602684,0
31.75,0.063184917,-0.112137296,0
32,0.062775387,-0.11164098,0
32.25,0.062348185,-0.111114247,0
32.5,0.061903734,-0.110557667,0
32.75,0.061442443,-0.109971813,0
33,0.060964708,-0.109357245,0
33.25,0.060470915,-0.108714505,0
33.5,0.059961441,-0.10804412,0
33.75,0.059436652,-0.107346598,0
34,0.058896905,-0.106622439,0
34.25,0.058342544,-0.105872132,0
34.5,0.057773908,-0.105096153,0
34.75,0.057191324,-0.104294973,0
35,0.056595112,-0.103469048,0
35.25,0.055985581,-0.102618826,0
35.5,0.055363036,-0.101744742,0
35.75,0.054727769,-0.100847225,0
36,0.054080069,-0.099926691,0
36.25,0.053420215,-0.09898355,0
36.5,0.05274848,-0.0980182,0
36.75,0.052065128,-0.097031034,0
37,0.051370419,-0.096022434,0
37.25,0.050664608,-0.094992778,0
37.5,0.04994797,-0.093942477,0
37.75,0.049220794,-0.092871959,0
38,0.048483357,-0.091781641,0
38.25,0.047735932,-0.09067193,0
38.5,0.046978783,-0.089543224,0
38.75,0.046212167,-0.088395911,0
39,0.045436333,-0.087230371,0
39.25,0.044651527,-0.086046973,0
39.5,0.043857983,-0.08484608,0
39.75,0.043055935,-0.083628044,0
40,0.042245606,-0.08239321,0
40.25,0.041427215,-0.081141916,0
40.5,0.040600976,-0.079874491,0
40.75,0.039767096,-0.078591257,0
41,0.038925777,-0.077292528,0
41.25,0.038077217,-0.075978613,0
41.5,0.037221608,-0.074649812,0
41.75,0.036359137,-0.073306419,0
42,0.035489986,-0.071948722,0
42.25,0.034614333,-0.070577002,0
42.5,0.033732352,-0.069191533,0
42.75,0.032844211,-0.067792586,0
43,0.031950076,-0.066380423,0
43.25,0.031050107,-0.064955301,0
43.5,0.030144479,-0.063517498,0
43.75,0.029233403,-0.062067338,0
44,0.02831709,-0.060605144,0
44.25,0.027395745,-0.059131234,0
44.5,0.026469566,-0.057645914,0
44.75,0.025538749,-0.056149487,0
45,0.024603482,-0.054642246,0
45.25,0.023663948,-0.053124477,0
45.5,0.022720326,-0.051596459,0
45.75,0.02177279,-0.050058466,0
46,0.020821508,-0.048510763,0
46.25,0.019866646,-0.046953612,0
46.5,0.018908364,-0.045387265,0
46.75,0.017946817,-0.04381197,0
47,0.016982158,-0.04222797,0
47.25,0.016014535,-0.0406355,0
47.5,0.01504409,-0.039034792,0
47.75,0.014070964,-0.03742607,0
48,0.013095293,-0.035809554,0
48.25,0.012117211,-0.034185461,0
48.5,0.011136846,-0.032553999,0
48.75,0.010154324,-0.030915374,0
49,0.009169768,-0.029269786,0
49.25,0.008183296,-0.027617432,0
49.5,0.007195026,-0.025958502,0
49.75,0.00620507,-0.024293183,0
50,0.005213539,-0.022621659,0
50.25,0.004220539,-0.020944108,0
50.5,0.003226177,-0.01926071,0
50.75,0.002230567,-0.017571696,0
51,0.001233828,-0.015877329,0
51.25,0.000236077,-0.014177864,0
51.5,-0.000762572,-0.012473553,0
51.75,-0.00176201,-0.010764637,0
52,-0.00276213,-0.009051354,0
52.25,-0.003762826,-0.007333937,0
52.5,-0.004763997,-0.00561261,0
52.75,-0.005765545,-0.003887594,0
53,-0.006767372,-0.002159104,0
53.25,-0.007769385,-0.00042735,0
53.5,-0.008771493,0.001307465,0
53.75,-0.009773606,0.003045142,0
54,-0.010775639,0.004785485,0
54.25,-0.011777506,0.006528305,0
54.5,-0.012779126,0.008273417,0
54.75,-0.013780419,0.010020642,0
55,-0.014781307,0.011769802,0
55.25,-0.015781715,0.013520726,0
55.5,-0.016781569,0.015273247,0
55.75,-0.017780797,0.017027201,0
56,-0.018779329,0.018782429,0
56.25,-0.019777098,0.020538776,0
56.5,-0.020774037,0.02229609,0
56.75,-0.021770081,0.024054222,0
57,-0.02276517,0.02581303,0
57.25,-0.023759241,0.02757237,0
57.5,-0.024752234,0.029332108,0
57.75,-0.025744094,0.031092107,0
58,-0.026734762,0.032852238,0
58.25,-0.027724185,0.034612374,0
58.5,-0.028712309,0.036372388,0
58.75,-0.029699083,0.038132161,0
59,-0.030684462,0.039891566,0
59.25,-0.031668406,0.04165047,0
59.5,-0.032650878,0.043408744,0
59.75,-0.033631843,0.045166263,0
60,-0.034611265,0.046922902,0
60.25,-0.035589109,0.048678543,0
60.5,-0.036565343,0.050433067,0
60.75,-0.037539934,0.052186361,0
61,-0.03851285,0.053938314,0
61.25,-0.039484062,0.055688816,0
61.5,-0.04045354,0.057437763,0
61.75,-0.041421254,0.059185049,0
62,-0.042387177,0.060930576,0
62.25,-0.043351281,0.062674244,0
62.5,-0.044313541,0.064415959,0
62.75,-0.045273931,0.066155625,0
63,-0.046232425,0.067893153,0
63.25,-0.047189,0.069628454,0
63.5,-0.048143633,0.07136144,0
63.75,-0.0490963,0.073092029,0
64,-0.05004698,0.074820136,0
64.25,-0.050995651,0.076545683,0
64.5,-0.051942293,0.078268591,0
64.75,-0.052886886,0.079988783,0
65,-0.05382941,0.081706186,0
65.25,-0.054769846,0.083420727,0
65.5,-0.055708177,0.085132336,0
65.75,-0.056644383,0.086840944,0
