age,Mspline,Sspline,Lspline
5,-0.116094102,0.38309867,0
5.25,-0.119634477,0.360862024,0
5.5,-0.122905539,0.339678935,0
5.75,-0.125873478,0.319467798,0
6,-0.128515866,0.300155962,0
6.25,-0.130802461,0.281682749,0
6.5,-0.132685358,0.264000422,0
6.75,-0.134127767,0.247065376,0
7,-0.135104462,0.230836981,0
7.25,-0.135597588,0.215278233,0
7.5,-0.135594199,0.200355819,0
7.75,-0.135087297,0.186038538,0
8,-0.134074722,0.17229707,0
8.25,-0.132558997,0.159103798,0
8.5,-0.130553279,0.146432158,0
8.75,-0.128075413,0.134256953,0
9,-0.125143063,0.122554596,0
9.25,-0.121773554,0.111302988,0
9.5,-0.117983964,0.100481432,0
9.75,-0.113797425,0.090071403,0
10,-0.109243766,0.08005655,0
10.25,-0.104350728,0.0704214,0
10.5,-0.099143634,0.061151236,0
10.75,-0.093645645,0.052232057,0
11,-0.087877998,0.043650546,0
11.25,-0.081866316,0.03539464,0
11.5,-0.075648368,0.027454254,0
11.75,-0.069260046,0.019819832,0
12,-0.062733441,0.012482114,0
12.25,-0.056097266,0.005432133,0
12.5,-0.049377228,-0.001338781,0
12.75,-0.042596354,-0.007839014,0
13,-0.035777024,-0.014076793,0
13.25,-0.028948376,-0.020060729,0
13.5,-0.022139393,-0.025799291,0
13.75,-0.015375951,-0.031300582,0
14,-0.008681144,-0.036572359,0
14.25,-0.002075563,-0.041622049,0
14.5,0.004422444,-0.046456768,0
14.75,0.01079655,-0.051083334,0
15,0.017032276,-0.055508297,0
15.25,0.02311767,-0.059738352,0
15.5,0.029043202,-0.063780379,0
15.75,0.034800553,-0.067640961,0
16,0.040382441,-0.071326371,0
16.25,0.04578252,-0.074842594,0
16.5,0.050995288,-0.078195341,0
16.75,0.056016007,-0.081390068,0
17,0.060840627,-0.084431985,0
17.25,0.065465724,-0.087326079,0
17.5,0.069888622,-0.090077136,0
17.75,0.074110308,-0.092690086,0
18,0.078134577,-0.095169924,0
18.25,0.081965248,-0.097521416,0
18.5,0.085606081,-0.099749111,0
18.75,0.089060729,-0.101857347,0
19,0.092332912,-0.103850267,0
19.25,0.095426322,-0.105731828,0
19.5,0.098344256,-0.107505813,0
19.75,0.101089882,-0.109175834,0
20,0.103666315,-0.110745352,0
20.25,0.106076991,-0.11221768,0
20.5,0.108326719,-0.113596006,0
20.75,0.110420481,-0.114883387,0
21,0.11236306,-0.116082753,0
21.25,0.114159385,-0.117196919,0
21.5,0.115814777,-0.118228587,0
21.75,0.117333967,-0.119180351,0
22,0.11872147,-0.120054699,0
22.25,0.119981632,-0.120854023,0
22.5,0.121118686,-0.121580621,0
22.75,0.122136651,-0.122236701,0
23,0.123039181,-0.122824388,0
23.25,0.123829851,-0.123345729,0
23.5,0.124512555,-0.123802688,0
23.75,0.125091141,-0.12419716,0
24,0.125569298,-0.124530967,0
24.25,0.125950865,-0.124805868,0
24.5,0.126240354,-0.125023551,0
24.75,0.126441707,-0.125185649,0
25,0.126558726,-0.125293735,0
25.25,0.126595031,-0.125349326,0
25.5,0.126554088,-0.125353889,0
25.75,0.126439217,-0.125308838,0
26,0.126253595,-0.125215538,0
26.25,0.126000265,-0.12507531,0
26.5,0.125682145,-0.12488943,0
26.75,0.125302032,-0.124659133,0
27,0.124862605,-0.124385613,0
27.25,0.124366417,-0.124070013,0
27.5,0.123815909,-0.123713439,0
27.75,0.123213558,-0.123317034,0
28,0.122561761,-0.122881914,0
28.25,0.121862839,-0.122409171,0
28.5,0.121119089,-0.121899903,0
28.75,0.120332682,-0.121355149,0
29,0.119505706,-0.120775919,0
29.25,0.118640161,-0.120163188,0
29.5,0.117737968,-0.1195179,0
29.75,0.116800969,-0.118840967,0
30,0.115830934,-0.118133273,0
30.25,0.114829562,-0.117395672,0
30.5,0.113798483,-0.116628993,0
30.75,0.112739265,-0.115834041,0
31,0.111653412,-0.115011594,0
31.25,0.11054237,-0.114162404,0
31.5,0.109407529,-0.113287197,0
31.75,0.108250226,-0.112386676,0
32,0.107071745,-0.111461521,0
32.25,0.105873315,-0.110512418,0
32.5,0.104656099,-0.109540135,0
32.75,0.10342121,-0.10854544,0
33,0.102169717,-0.107529075,0
33.25,0.100902649,-0.106491762,0
33.5,0.099620997,-0.105434203,0
33.75,0.098325709,-0.104357078,0
34,0.097017703,-0.103261046,0
34.25,0.095697859,-0.102146744,0
34.5,0.094367026,-0.101014784,0
34.75,0.09302602,-0.099865765,0
35,0.091675626,-0.098700263,0
35.25,0.090316602,-0.097518836,0
35.5,0.088949674,-0.096322028,0
35.75,0.087575544,-0.095110363,0
36,0.086194886,-0.093884348,0
36.25,0.084808351,-0.092644478,0
36.5,0.083416565,-0.09139123,0
36.75,0.082020129,-0.090125067,0
37,0.080619623,-0.088846438,0
37.25,0.079215607,-0.087555779,0
37.5,0.077808612,-0.086253513,0
37.75,0.07639901,-0.084940076,0
38,0.07498703,-0.083615915,0
38.25,0.073572889,-0.082281465,0
38.5,0.072156796,-0.080937145,0
38.75,0.070738953,-0.079583364,0
39,0.069319555,-0.078220516,0
39.25,0.067898791,-0.076848984,0
39.5,0.066476842,-0.075469141,0
39.75,0.065053886,-0.074081345,0
40,0.063630092,-0.072685947,0
40.25,0.062205625,-0.071283285,0
40.5,0.060780643,-0.069873688,0
40.75,0.0593553,-0.068457474,0
41,0.057929744,-0.067034953,0
41.25,0.05650412,-0.065606425,0
41.5,0.055078564,-0.06417218,0
41.75,0.053653213,-0.062732501,0
42,0.052228194,-0.061287662,0
42.25,0.050803633,-0.05983793,0
42.5,0.049379651,-0.058383561,0
42.75,0.047956364,-0.056924808,0
43,0.046533886,-0.055461912,0
43.25,0.045112325,-0.05399511,0
43.5,0.043691788,-0.052524631,0
43.75,0.042272354,-0.051050697,0
44,0.04085392,-0.049573515,0
44.25,0.03943629,-0.048093282,0
44.5,0.038019277,-0.04661019,0
44.75,0.036602698,-0.045124425,0
45,0.035186378,-0.043636169,0
45.25,0.033770146,-0.042145597,0
45.5,0.03235384,-0.040652879,0
45.75,0.030937299,-0.039158182,0
46,0.029520372,-0.037661666,0
46.25,0.02810291,-0.036163488,0
46.5,0.026684771,-0.0346638,0
46.75,0.025265817,-0.03316275,0
47,0.023845914,-0.031660482,0
47.25,0.022424935,-0.030157134,0
47.5,0.021002755,-0.028652843,0
47.75,0.019579255,-0.02714774,0
48,0.018154319,-0.025641953,0
48.25,0.016727835,-0.024135607,0
48.5,0.015299697,-0.022628822,0
48.75,0.0138698,-0.021121716,0
49,0.012438044,-0.019614403,0
49.25,0.011004333,-0.018106993,0
49.5,0.009568574,-0.016599596,0
49.75,0.008130677,-0.015092315,0
50,0.006690555,-0.013585252,0
50.25,0.005248125,-0.012078506,0
50.5,0.003803307,-0.010572173,0
50.75,0.002356023,-0.009066347,0
51,0.000906207,-0.00756112,0
51.25,-0.000546153,-0.006056589,0
51.5,-0.002001053,-0.004552853,0
51.75,-0.003458487,-0.003050007,0
52,-0.004918448,-0.001548143,0
52.25,-0.006380929,-4.74E-05,0
52.5,-0.007845923,0.001452281,0
52.75,-0.009313423,0.002950669,0
53,-0.010783421,0.00444773,0
53.25,-0.012255909,0.005943385,0
53.5,-0.013730877,0.007437555,0
53.75,-0.015208318,0.008930165,0
54,-0.016688222,0.010421141,0
54.25,-0.01817058,0.011910413,0
54.5,-0.019655383,0.013397911,0
54.75,-0.02114262,0.014883569,0
55,-0.022632281,0.01636732,0
55.25,-0.024124357,0.017849102,0
55.5,-0.025618836,0.019328852,0
55.75,-0.027115709,0.020806513,0
56,-0.028614964,0.022282024,0
56.25,-0.03011659,0.023755332,0
56.5,-0.031620576,0.025226379,0
56.75,-0.03312691,0.026695115,0
57,-0.034635582,0.028161487,0
57.25,-0.03614658,0.029625446,0
57.5,-0.037659891,0.031086942,0
57.75,-0.039175504,0.032545931,0
58,-0.040693407,0.034002365,0
58.25,-0.042213587,0.035456201,0
58.5,-0.043736034,0.036907396,0
58.75,-0.045260733,0.038355908,0
59,-0.046787673,0.039801698,0
59.25,-0.048316841,0.041244727,0
59.5,-0.049848187,0.042684957,0
59.75,-0.05138158,0.044122355,0
60,-0.052916884,0.045556886,0
60.25,-0.054453962,0.046988519,0
60.5,-0.055992683,0.048417224,0
60.75,-0.057532918,0.049842969,0
61,-0.059074541,0.051265726,0
61.25,-0.060617429,0.052685467,0
61.5,-0.06216146,0.054102165,0
61.75,-0.063706518,0.055515794,0
62,-0.065252487,0.056926328,0
62.25,-0.066799253,0.058333742,0
62.5,-0.068346708,0.059738014,0
62.75,-0.069894744,0.06113912,0
63,-0.071443254,0.062537039,0
63.25,-0.072992136,0.063931748,0
63.5,-0.07454129,0.065323229,0
63.75,-0.076090616,0.066711461,0
64,-0.077640019,0.068096424,0
64.25,-0.079189404,0.069478102,0
64.5,-0.08073868,0.070856476,0
64.75,-0.082287756,0.072231529,0
65,-0.083836544,0.073603245,0
65.25,-0.085384958,0.074971609,0
65.5,-0.086932915,0.076336605,0
65.75,-0.088480331,0.07769822,0
66,-0.090027127,0.079056438,0
66.25,-0.091573224,0.080411248,0
66.5,-0.093118544,0.081762637,0
66.75,-0.094663013,0.083110591,0
67,-0.096206558,0.0844551,0
67.25,-0.097749105,0.085796153,0
67.5,-0.099290586,0.08713374,0
67.75,-0.100830931,0.088467849,0
68,-0.102370074,0.089798472,0
68.25,-0.103907948,0.091125599,0
68.5,-0.10544449,0.092449223,0
68.75,-0.106979637,0.093769334,0
69,-0.108513327,0.095085925,0
69.25,-0.110045497,0.096398989,0
69.5,-0.11157607,0.097708523,0
69.75,-0.113104966,0.099014525,0
70,-0.114632107,0.100316992,0
70.25,-0.116157416,0.101615923,0
70.5,-0.117680819,0.102911317,0
70.75,-0.119202243,0.104203172,0
71,-0.120721616,0.105491488,0
71.25,-0.122238869,0.106776264,0
71.5,-0.123753933,0.1080575,0
71.75,-0.125266742,0.109335196,0
72,-0.126777232,0.110609352,0
72.25,-0.128285337,0.111879968,0
72.5,-0.129790997,0.113147045,0
72.75,-0.131294149,0.114410584,0
73,-0.132794736,0.115670586,0
73.25,-0.134292699,0.116927053,0
73.5,-0.135787981,0.118179986,0
73.75,-0.137280527,0.119429386,0
74,-0.138770282,0.120675257,0
74.25,-0.140257195,0.121917599,0
74.5,-0.141741213,0.123156415,0
74.75,-0.143222286,0.124391708,0
75,-0.144700365,0.12562348,0
75.25,-0.146175401,0.126851735,0
75.5,-0.147647348,0.128076475,0
75.75,-0.14911616,0.129297704,0
76,-0.150581793,0.130515424,0
76.25,-0.152044202,0.13172964,0
76.5,-0.153503344,0.132940355,0
76.75,-0.154959179,0.134147573,0
77,-0.156411666,0.135351298,0
77.25,-0.157860765,0.136551534,0
77.5,-0.159306437,0.137748285,0
77.75,-0.160748645,0.138941556,0
78,-0.162187352,0.140131351,0
78.25,-0.163622521,0.141317674,0
78.5,-0.165054119,0.142500531,0
78.75,-0.166482111,0.143679926,0
79,-0.167906463,0.144855865,0
79.25,-0.169327143,0.146028351,0
79.5,-0.17074412,0.147197392,0
79.75,-0.172157363,0.148362991,0
80,-0.173566842,0.149525154,0
80.25,-0.174972527,0.150683887,0
80.5,-0.17637439,0.151839196,0
80.75,-0.177772415,0.152991089,0
81,-0.17916661,0.154139582,0
81.25,-0.180556989,0.155284694,0
81.5,-0.181943563,0.15642644,0
81.75,-0.183326344,0.157564838,0
82,-0.184705343,0.158699904,0
82.25,-0.186080574,0.159831656,0
82.5,-0.187452047,0.160960109,0
82.75,-0.188819776,0.16208528,0
83,-0.190183771,0.163207186,0
83.25,-0.191544046,0.164325841,0
83.5,-0.192900611,0.165441264,0
83.75,-0.194253478,0.166553469,0
84,-0.195602661,0.167662472,0
84.25,-0.19694817,0.168768288,0
84.5,-0.198290017,0.169870935,0
84.75,-0.199628214,0.170970426,0
85,-0.200962773,0.172066778,0
85.25,-0.202293706,0.173160006,0
85.5,-0.203621025,0.174250124,0
85.75,-0.204944741,0.175337148,0
86,-0.206264868,0.176421094,0
86.25,-0.207581449,0.177501985,0
86.5,-0.208894498,0.178579838,0
86.75,-0.210204019,0.179654665,0
87,-0.211510017,0.180726478,0
87.25,-0.212812498,0.18179529,0
87.5,-0.214111465,0.182861112,0
87.75,-0.215406925,0.183923958,0
88,-0.216698881,0.184983839,0
88.25,-0.21798734,0.186040767,0
88.5,-0.219272306,0.187094754,0
88.75,-0.220553784,0.188145813,0
89,-0.221831781,0.189193954,0
89.25,-0.223106302,0.190239191,0
89.5,-0.224377351,0.191281534,0
89.75,-0.225644936,0.192320995,0
90,-0.22690906,0.193357587,0
