age,Mspline,Sspline,Lspline
5,-0.170942942,0.155206335,0
5.25,-0.16346929,0.152961954,0
5.5,-0.156339341,0.15071814,0
5.75,-0.149520984,0.148474961,0
6,-0.142986411,0.146232484,0
6.25,-0.136711952,0.143990776,0
6.5,-0.130678847,0.141749904,0
6.75,-0.124875886,0.139509934,0
7,-0.119293793,0.137270933,0
7.25,-0.1139235,0.135032969,0
7.5,-0.108755534,0.132796106,0
7.75,-0.103773322,0.130560432,0
8,-0.098957527,0.128326185,0
8.25,-0.094291181,0.126093692,0
8.5,-0.089759421,0.123863278,0
8.75,-0.085348816,0.12163527,0
9,-0.081042267,0.119409995,0
9.25,-0.076820999,0.11718778,0
9.5,-0.072668686,0.11496895,0
9.75,-0.068571196,0.112753832,0
10,-0.064516286,0.110542753,0
10.25,-0.060493797,0.10833604,0
10.5,-0.056500224,0.106134018,0
10.75,-0.052535886,0.103937014,0
11,-0.048601064,0.101745355,0
11.25,-0.044695944,0.099559367,0
11.5,-0.040820629,0.097379377,0
11.75,-0.036975154,0.095205711,0
12,-0.033160129,0.093038695,0
12.25,-0.029382709,0.09087865,0
12.5,-0.025653105,0.088725862,0
12.75,-0.021980303,0.086580614,0
13,-0.018372153,0.084443184,0
13.25,-0.014835493,0.082313855,0
13.5,-0.011376265,0.080192905,0
13.75,-0.007999616,0.078080616,0
14,-0.004709956,0.075977267,0
14.25,-0.001510503,0.073883141,0
14.5,0.001596558,0.071798515,0
14.75,0.004609457,0.069723673,0
15,0.007526767,0.067658892,0
15.25,0.010347369,0.065604455,0
15.5,0.013070417,0.063560642,0
15.75,0.015695307,0.061527732,0
16,0.018221651,0.059506007,0
16.25,0.020649251,0.057495747,0
16.5,0.022978377,0.055497231,0
16.75,0.025210858,0.05351068,0
17,0.027348949,0.051536187,0
17.25,0.029394842,0.049573833,0
17.5,0.031350671,0.047623699,0
17.75,0.033218516,0.045685865,0
18,0.0350004,0.043760411,0
18.25,0.03669829,0.041847417,0
18.5,0.038314101,0.039946965,0
18.75,0.039849699,0.038059133,0
19,0.041306895,0.036184003,0
19.25,0.042687502,0.034321656,0
19.5,0.043994271,0.03247217,0
19.75,0.045230257,0.030635627,0
20,0.046398371,0.028812107,0
20.25,0.047501419,0.02700169,0
20.5,0.04854207,0.025204457,0
20.75,0.049522856,0.023420487,0
21,0.050446188,0.021649863,0
21.25,0.051314364,0.019892675,0
21.5,0.052129577,0.01814903,0
21.75,0.052893917,0.016419031,0
22,0.05360938,0.014702784,0
22.25,0.054277868,0.013000395,0
22.5,0.054901203,0.011311967,0
22.75,0.055481145,0.009637607,0
23,0.056019383,0.007977419,0
23.25,0.056517543,0.006331508,0
23.5,0.056977174,0.00469998,0
23.75,0.057399762,0.003082939,0
24,0.057786724,0.001480491,0
24.25,0.058139421,-0.00010726,0
24.5,0.058459155,-0.001680207,0
24.75,0.058747172,-0.003238247,0
25,0.059004667,-0.004781274,0
25.25,0.059232786,-0.006309183,0
25.5,0.059432628,-0.007821866,0
25.75,0.059605247,-0.009319197,0
26,0.059751654,-0.010801036,0
26.25,0.059872819,-0.012267247,0
26.5,0.059969652,-0.013717689,0
26.75,0.060042944,-0.015152225,0
27,0.060093439,-0.016570717,0
27.25,0.060121854,-0.017973026,0
27.5,0.06012888,-0.019359014,0
27.75,0.060115184,-0.020728543,0
28,0.060081409,-0.022081474,0
28.25,0.060028174,-0.023417669,0
28.5,0.059956078,-0.024736989,0
28.75,0.059865698,-0.026039297,0
29,0.059757591,-0.027324454,0
29.25,0.059632297,-0.028592322,0
29.5,0.059490335,-0.029842762,0
29.75,0.059332207,-0.031075637,0
30,0.059158399,-0.032290795,0
30.25,0.058969381,-0.033488043,0
30.5,0.058765605,-0.034667172,0
30.75,0.058547511,-0.035827976,0
31,0.058315508,-0.036970248,0
31.25,0.058069914,-0.03809378,0
31.5,0.05781101,-0.039198364,0
31.75,0.057539072,-0.040283795,0
32,0.057254369,-0.041349864,0
32.25,0.056957162,-0.042396364,0
32.5,0.056647707,-0.043423089,0
32.75,0.056326251,-0.04442983,0
33,0.055993037,-0.045416381,0
33.25,0.055648302,-0.046382534,0
33.5,0.055292275,-0.047328083,0
33.75,0.054925181,-0.048252819,0
34,0.054547241,-0.049156537,0
34.25,0.054158667,-0.050039027,0
34.5,0.053759669,-0.050900069,0
34.75,0.05335045,-0.051739407,0
35,0.05293121,-0.052556785,0
35.25,0.052502142,-0.053351945,0
35.5,0.052063437,-0.054124631,0
35.75,0.05161528,-0.054874585,0
36,0.051157852,-0.05560155,0
36.25,0.050691329,-0.056305269,0
36.5,0.050215873,-0.056985484,0
36.75,0.049731637,-0.057641938,0
37,0.049238768,-0.058274375,0
37.25,0.048737413,-0.058882536,0
37.5,0.048227714,-0.059466165,0
37.75,0.047709811,-0.060025005,0
38,0.047183842,-0.060558797,0
38.25,0.04664994,-0.061067286,0
38.5,0.046108238,-0.061550214,0
38.75,0.045558863,-0.062007326,0
39,0.045001942,-0.062438422,0
39.25,0.0444376,-0.062843357,0
39.5,0.043865957,-0.06322199,0
39.75,0.043287133,-0.063574178,0
40,0.042701244,-0.063899779,0
40.25,0.042108405,-0.064198651,0
40.5,0.041508728,-0.064470653,0
40.75,0.040902323,-0.064715641,0
41,0.040289299,-0.064933474,0
41.25,0.039669761,-0.06512401,0
41.5,0.039043813,-0.065287107,0
41.75,0.038411557,-0.065422622,0
42,0.037773093,-0.065530413,0
42.25,0.03712852,-0.06561034,0
42.5,0.036477926,-0.065662258,0
42.75,0.035821325,-0.065686027,0
43,0.035158688,-0.065681504,0
43.25,0.034489989,-0.065648561,0
43.5,0.033815203,-0.065587194,0
43.75,0.03313431,-0.065497465,0
44,0.032447289,-0.065379434,0
44.25,0.031754124,-0.065233163,0
44.5,0.031054799,-0.065058712,0
44.75,0.030349301,-0.064856143,0
45,0.029637619,-0.064625517,0
45.25,0.028919743,-0.064366895,0
45.5,0.028195665,-0.064080338,0
45.75,0.027465381,-0.063765908,0
46,0.026728884,-0.063423665,0
46.25,0.025986172,-0.063053671,0
46.5,0.025237245,-0.062655987,0
46.75,0.024482101,-0.062230674,0
47,0.023720742,-0.061777793,0
47.25,0.022953171,-0.061297406,0
47.5,0.022179391,-0.060789573,0
47.75,0.021399409,-0.060254366,0
48,0.020613229,-0.059691902,0
48.25,0.019820859,-0.059102308,0
48.5,0.019022308,-0.058485709,0
48.75,0.018217584,-0.057842234,0
49,0.017406699,-0.057172009,0
49.25,0.016589663,-0.05647516,0
49.5,0.015766488,-0.055751815,0
49.75,0.014937189,-0.0550021,0
50,0.014101822,-0.054226143,0
50.25,0.013260487,-0.05342407,0
50.5,0.012413283,-0.052596007,0
50.75,0.011560312,-0.051742083,0
51,0.010701668,-0.050862423,0
51.25,0.009837448,-0.049957155,0
51.5,0.008967744,-0.049026405,0
51.75,0.00809265,-0.0480703,0
52,0.007212254,-0.047088968,0
52.25,0.006326645,-0.046082547,0
52.5,0.00543591,-0.045051201,0
52.75,0.004540135,-0.043995098,0
53,0.003639404,-0.042914403,0
53.25,0.002733798,-0.041809284,0
53.5,0.001823398,-0.040679906,0
53.75,0.000908285,-0.039526437,0
54,-1.15E-05,-0.038349042,0
54.25,-0.000935773,-0.03714789,0
54.5,-0.001864566,-0.035923145,0
54.75,-0.002797768,-0.034674975,0
55,-0.003735307,-0.033403546,0
55.25,-0.004677112,-0.032109025,0
55.5,-0.005623112,-0.030791578,0
55.75,-0.006573238,-0.029451373,0
56,-0.007527423,-0.028088575,0
56.25,-0.008485599,-0.026703351,0
56.5,-0.0094477,-0.02529587,0
56.75,-0.010413663,-0.023866344,0
57,-0.011383424,-0.022415029,0
57.25,-0.012356921,-0.020942184,0
57.5,-0.013334091,-0.019448067,0
57.75,-0.014314876,-0.017932936,0
